city,age,sex,family_size,work_hours,avg_sleep_hours,screen_time_hours,tea_cups,coffee_cups,late_snack,spice_intake,religious_freq,festival_freq,physical_activity_min,bedtime_variability,stress_level,city_noise_dB,light_pollution_index,temperature_night,humidity_night,air_quality_index,screen_brightness_behavior,sleep_quality_score
Thrissur,25.3,Female,4,11.6,4.79,3.69,3,1,0,3,3,4,0.9,0.25,5.37,65.97,46.18,27.73,53.42,179.7,0.29,38.42
Kolkata,49.0,Female,2,12.3,5.82,2.71,0,2,0,3,1,4,0.0,0.43,3.41,57.56,57.09,21.27,50.0,144.7,0.31,48.63
Varanasi,16.4,Female,4,9.0,6.15,1.21,0,0,1,4,4,2,78.9,1.57,3.99,61.37,31.77,28.02,73.11,69.4,0.73,52.9
Jaipur,18.9,Female,4,10.4,6.81,2.33,1,3,1,4,2,0,51.1,1.48,6.35,66.66,69.69,27.73,34.59,171.3,0.15,45.61
Nanded,47.1,Male,5,9.3,6.73,1.91,4,0,0,5,5,1,57.5,0.84,3.39,39.77,53.15,32.31,47.88,52.2,0.82,63.37
Kohima,30.5,Female,4,10.4,6.77,2.29,1,0,1,3,5,3,35.5,2.46,3.52,54.99,55.24,26.47,69.73,71.3,0.9,65.51
Aizawl,27.6,Female,4,9.5,6.51,3.32,8,0,0,3,2,2,15.9,1.52,4.6,41.03,52.05,26.12,81.57,16.1,0.72,58.09
Pimpri-Chinchwad,18.0,Female,4,9.2,4.43,2.97,2,0,1,3,1,2,49.7,2.87,10.0,41.03,53.38,18.53,70.73,68.2,0.67,36.19
Kanpur,34.5,Female,6,8.8,7.98,1.93,1,1,0,5,0,4,41.1,0.19,4.33,54.94,35.78,24.45,72.99,117.5,0.53,58.2
Pune,35.4,Female,3,9.8,6.51,1.41,0,2,0,3,1,0,43.7,0.98,6.0,70.45,89.39,15.75,67.47,149.8,0.57,50.03
Mumbai,19.1,Male,2,10.5,5.69,2.49,2,1,0,5,2,3,25.3,1.15,3.69,74.43,85.58,19.69,66.58,173.5,0.8,46.94
Tiruchirappalli,28.6,Male,5,10.9,7.67,2.83,1,0,1,5,3,3,11.1,2.45,5.06,43.09,57.35,29.37,81.73,89.1,0.4,54.74
Port Blair,26.6,Female,5,7.6,8.01,1.95,4,0,0,4,3,1,44.4,2.05,7.11,56.64,55.16,26.36,60.95,59.9,0.32,58.63
Nellore,32.6,Female,4,9.1,8.19,0.87,3,0,1,3,5,1,4.5,0.83,3.93,49.46,57.12,28.75,71.27,10.0,0.56,60.69
Nellore,18.8,Female,5,9.5,6.17,1.82,3,0,0,3,2,1,57.8,0.0,6.86,55.88,49.93,31.4,71.6,40.3,0.33,47.6
Rajkot,42.5,Female,6,11.5,6.21,1.58,4,0,0,4,3,0,19.6,2.22,6.12,40.08,47.56,23.92,65.4,81.8,0.64,63.23
Kochi,39.2,Female,5,8.4,10.0,3.13,2,1,0,3,2,1,71.4,1.26,2.55,53.68,60.26,32.45,51.01,168.7,0.92,70.22
Bharatpur,26.4,Female,3,7.8,8.02,1.48,2,0,0,4,4,1,0.0,2.0,5.42,60.24,52.75,22.05,67.03,94.5,0.06,70.41
Bhubaneswar,27.8,Male,5,11.3,6.36,2.37,1,0,0,4,3,2,11.1,0.0,4.61,39.53,30.19,26.86,64.46,83.9,0.84,54.14
Pune,28.6,Female,3,10.8,7.03,3.69,1,1,0,3,4,3,30.5,0.91,6.98,73.49,78.98,22.69,64.4,133.6,0.39,40.6
